,CODDEPTO,DEPARTAMENTO,CODMPIO,ENTIDAD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,11,BOGOTÁ,11001,BOGOTÁ,2567909.07,2705683.5,3473895.35,3795490.88,4101564.24,5591676.09,7258755.8,5768895.41,7696790.05,8131355.16,7843648.55,8792778.95,9483416.0,10187876.16,12273105.36,12724539.0,13638610.23,15202613.25,15606995.0,17461418.0,17126068.58,17331472.0
1,13,BOLÍVAR,13000,BOLÍVAR,8734.25,10620.25,13764.87,14070.89,16125.52,17807.73,18453.48,20039.47,28865.77,30491.92,30986.07,32509.95,39420.95,48585.59,50881.23,57259.13,58462.19,64283.95,1557305.13,1375490.25,1315091.21,1787286.88
2,13,BOLÍVAR,13001,CARTAGENA,258326.31,295626.47,381869.79,395964.0,449418.24,485726.33,510469.19,572588.88,882951.56,922192.74,875971.03,836730.79,1098627.08,1284377.58,1301612.0,1454669.25,1476150.34,1625211.35,1766803.38,1864723.75,1979343.48,2287036.5
3,13,BOLÍVAR,13006,ACHÍ,2917.13,4426.16,5783.47,5185.32,7774.05,6719.85,6881.37,8783.54,9502.51,12726.25,13044.29,13356.7,16685.64,21489.84,22168.72,32202.29,26714.04,28118.64,35831.63,31037.45,32497.14,33328.05
4,13,BOLÍVAR,13030,ALTOS DEL ROSARIO,0.0,2904.4,3627.9,3014.61,3547.36,4996.44,4522.38,4976.22,5419.03,5825.29,6089.27,7176.0,7760.43,10530.7,13785.51,14683.93,17945.28,12263.88,15199.88,12554.35,15608.77,23533.77
5,13,BOLÍVAR,13042,ARENAL,2629.18,3830.51,4073.48,3281.77,3406.79,4362.69,4043.74,4893.41,5612.73,6642.13,6437.61,6450.34,8130.09,10116.78,14599.94,11877.34,14191.57,13332.38,21018.59,17441.01,21894.7,17425.92
6,13,BOLÍVAR,13052,ARJONA,0.0,0.0,9608.78,5355.13,10563.81,12760.81,12202.35,16543.63,17977.6,28710.28,22230.54,20932.11,30657.2,53703.98,50421.65,54415.86,65110.41,60871.77,75930.2,77416.01,71708.84,83203.69
7,13,BOLÍVAR,13062,ARROYOHONDO,2262.08,2468.32,1941.1,1916.23,2803.83,2993.75,2888.26,3016.69,4325.86,5086.53,4797.27,6601.02,6614.75,8223.86,11993.67,14474.35,14172.14,14663.45,13681.95,16139.8,14316.44,18967.48
8,13,BOLÍVAR,13074,BARRANCO DE LOBA,0.0,4820.27,3737.62,3650.02,0.0,4815.53,4921.54,4901.56,7183.13,0.0,9344.52,,10356.94,16462.2,14564.06,0.0,22228.49,16076.34,14637.75,18525.89,27345.58,27881.86
9,13,BOLÍVAR,13140,CALAMAR,365.31,0.0,0.0,2295.97,3409.39,4929.04,4271.25,3328.26,8265.27,8956.63,11403.58,12585.92,15207.69,20781.7,7966.79,22254.34,28916.15,22763.32,28727.76,27426.47,30479.36,33299.89
10,13,BOLÍVAR,13160,CANTAGALLO,7108.82,4881.2,6419.46,8416.28,12155.68,16980.77,23317.02,25884.31,22323.44,11343.12,13192.8,32636.37,23815.4,26153.33,12973.87,45823.64,28476.62,22410.83,24305.55,47673.99,23490.8,23419.63
11,13,BOLÍVAR,13188,CICUCO,0.0,2673.82,3665.15,2935.89,3463.54,3658.9,3979.88,3968.45,5835.04,6435.53,7287.16,8689.66,10708.48,14595.03,17801.23,27729.96,23017.16,20388.27,19112.84,22795.69,21540.39,23327.84
12,13,BOLÍVAR,13212,CÓRDOBA,3264.89,3924.81,6114.99,4759.95,5138.82,5517.84,5596.0,6047.16,7227.43,7502.62,7862.67,9293.51,10675.41,18569.24,23322.21,16282.81,18075.21,7059.75,18347.3,22671.65,22884.15,27170.45
13,13,BOLÍVAR,13222,CLEMENCIA,0.0,2047.38,2852.03,3507.67,4033.12,3486.14,3686.36,4558.91,5648.0,7219.63,6899.81,9557.56,10641.43,11380.22,13095.0,17583.68,19210.85,17203.95,17718.69,21290.72,24428.49,28388.91
14,13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,7315.87,10037.54,14831.9,10739.79,11995.25,11600.37,8337.3,7104.69,20467.8,0.0,25972.27,33741.17,35200.81,45320.2,43349.35,61668.66,66130.68,69935.64,69780.8,79368.68,119683.36,98287.84
15,13,BOLÍVAR,13248,EL GUAMO,0.0,2493.73,3002.79,3772.92,3173.07,3161.94,3123.04,4211.32,4902.18,7260.43,6090.21,5778.92,7076.26,9957.63,12007.61,10794.72,9946.13,12901.12,13568.66,16308.2,13190.33,19497.36
